N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE
1,삼성전자,"61,400",500,-0.81%,100,"3,665,446","5,969,783",49.84,"15,036,436",9.64,13.92,
2,LG에너지솔루션,"422,000","6,500",+1.56%,500,"987,480","234,000",3.68,"708,197",134.48,10.68,
3,SK하이닉스,"97,900","1,500",-1.51%,"5,000","712,714","728,002",49.92,"3,875,034",6.73,16.84,
4,삼성바이오로직스,"865,000","2,000",+0.23%,"2,500","615,655","71,174",10.71,"62,047",120.78,8.21,
5,삼성전자우,"57,000",0,0.00%,100,"469,045","822,887",72.07,"1,083,086",8.95,N/A,
6,LG화학,"603,000","5,000",+0.84%,"5,000","425,672","70,592",47.57,"307,097",15.47,18.47,
7,NAVER,"259,000","12,000",+4.86%,100,"424,887","164,049",53.11,"1,097,462",31.49,106.72,
8,현대차,"196,000","1,000",+0.51%,"5,000","418,790","213,668",27.18,"841,737",10.44,6.84,
9,삼성SDI,"569,000","9,000",-1.56%,"5,000","391,270","68,765",42.90,"600,437",28.77,8.45,
10,카카오,"74,800","2,400",+3.31%,100,"332,821","444,948",28.76,"2,154,370",13.48,17.10,
11,기아,"81,200",700,+0.87%,"5,000","329,155","405,363",36.20,"1,371,565",6.92,14.69,
12,셀트리온,"190,000",0,0.00%,"1,000","267,459","140,768",20.77,"279,041",52.98,16.04,
13,삼성물산,"120,500",500,+0.42%,100,"225,199","186,887",16.36,"285,637",17.14,5.40,
14,현대모비스,"228,500",500,-0.22%,"5,000","216,100","94,573",34.25,"201,356",9.53,6.87,
15,POSCO홀딩스,"242,000","3,500",+1.47%,"5,000","210,992","87,187",53.00,"305,831",2.89,13.97,
16,KB금융,"48,450",800,+1.68%,"5,000","199,785","412,352",72.76,"1,253,662",4.38,9.80,
17,신한지주,"35,700",0,0.00%,"5,000","183,117","512,934",61.95,"1,170,385",4.51,8.80,
18,SK이노베이션,"187,500","5,500",+3.02%,"5,000","173,373","92,466",25.42,"686,701",11.92,1.91,
19,SK,"220,000","1,500",+0.69%,200,"163,129","74,149",22.07,"153,473",5.36,10.19,
20,LG전자,"94,400",800,+0.85%,"5,000","154,484","163,648",26.56,"667,841",13.55,6.32,
21,카카오뱅크,"30,900",850,+2.83%,"5,000","147,182","476,317",12.33,"2,313,177",62.55,4.91,
22,한국전력,"22,350",150,+0.68%,"5,000","143,479","641,964",14.75,"950,471",-1.26,-7.99,
23,LG,"81,100",600,+0.75%,"5,000","127,571","157,301",35.93,"183,444",4.59,12.36,
24,LG생활건강,"779,000","36,000",+4.85%,"5,000","121,666","15,618",37.78,"115,131",19.74,16.65,
25,HMM,"24,850",800,+3.33%,"5,000","121,526","489,039",9.15,"1,959,460",1.28,88.62,
26,삼성생명,"60,700",0,0.00%,500,"121,400","200,000",13.26,"201,188",18.65,4.01,
27,두산에너빌리티,"18,750",600,+3.31%,"5,000","119,683","638,308",9.96,"5,994,165",28.11,10.67,
28,SK텔레콤,"53,600",800,+1.52%,100,"117,295","218,833",48.21,"441,610",7.97,13.63,
29,크래프톤,"233,500","11,000",-4.50%,100,"114,583","49,072",28.92,"574,440",19.21,17.86,
30,KT&G,"81,900",200,-0.24%,"5,000","112,443","137,292",40.18,"287,225",11.62,10.74,
31,현대중공업,"125,000","3,000",+2.46%,"5,000","110,966","88,773",5.81,"292,548",-10.14,-14.87,
32,하나금융지주,"37,200",400,+1.09%,"5,000","110,076","295,903",72.50,"1,309,040",3.11,10.86,
33,삼성전기,"142,500","3,500",-2.40%,"5,000","106,439","74,694",25.77,"682,927",11.35,14.29,
34,삼성에스디에스,"136,000",0,0.00%,500,"105,234","77,378",13.24,"157,181",16.12,8.80,
35,S-Oil,"91,800",500,+0.55%,"2,500","103,351","112,583",82.91,"372,349",5.62,21.76,
36,포스코케미칼,"131,500","4,000",-2.95%,500,"101,864","77,463",6.54,"965,471",78.09,7.92,
37,KT,"37,750",300,+0.80%,"5,000","98,570","261,112",45.60,"589,599",6.73,9.36,
38,SK바이오사이언스,"122,000","5,000",-3.94%,500,"93,677","76,784",3.66,"767,466",27.37,38.08,
39,삼성화재,"197,500",500,+0.25%,500,"93,565","47,375",49.48,"52,224",8.82,7.09,
40,대한항공,"25,300",350,+1.40%,"5,000","93,160","368,221",13.05,"989,329",7.58,11.60,
41,고려아연,"477,500","5,000",+1.06%,"5,000","90,104","18,870",20.38,"38,225",11.93,11.07,
42,우리금융지주,"11,900",150,+1.28%,"5,000","86,639","728,061",39.96,"1,945,344",3.13,10.59,
43,LG이노텍,"363,000","6,500",+1.82%,"5,000","85,912","23,667",26.42,"247,560",9.50,30.94,
44,한화솔루션,"43,800","1,550",+3.67%,"5,000","83,780","191,278",19.41,"9,304,826",25.26,8.79,
45,카카오페이,"62,900","1,300",+2.11%,500,"83,361","132,529",43.45,"308,363",-317.68,-2.45,
46,엔씨소프트,"372,500","8,000",+2.19%,500,"81,779","21,954",42.20,"136,888",16.86,12.62,
47,아모레퍼시픽,"129,000","1,500",+1.18%,500,"75,456","58,493",25.87,"525,044",50.63,4.20,
48,하이브,"175,500","6,000",+3.54%,500,"72,575","41,353",15.25,"340,089",45.24,6.83,
49,기업은행,"9,390",40,+0.43%,"5,000","69,890","744,301",13.67,"986,899",3.02,9.21,
50,현대글로비스,"182,000",0,0.00%,500,"68,250","37,500",45.07,"185,676",7.22,14.41,
51,넷마블,"72,100","2,500",+3.59%,100,"61,972","85,954",23.12,"418,382",44.02,4.29,
52,SK바이오팜,"78,000",0,0.00%,500,"61,084","78,313",5.83,"60,284",-61.47,15.75,
53,롯데케미칼,"176,500",500,-0.28%,"5,000","60,496","34,275",23.60,"99,510",6.41,9.87,
54,SK스퀘어,"42,750",50,+0.12%,100,"60,477","141,468",41.21,"239,073",2.65,N/A,
55,한국조선해양,"84,700","1,000",+1.19%,"5,000","59,945","70,773",20.44,"206,910",-4.97,-8.95,
56,CJ제일제당,"391,500","3,500",-0.89%,"5,000","58,937","15,054",23.38,"27,539",9.92,10.76,
57,SK아이이테크놀로지,"81,800",800,+0.99%,"1,000","58,321","71,298",11.10,"507,348",75.11,5.57,
58,F&F,"149,500","1,000",-0.66%,100,"57,269","38,307",12.33,"79,284",15.91,N/A,
59,한온시스템,"10,650",200,+1.91%,100,"56,850","533,800",17.21,"743,808",21.09,13.83,
60,한국항공우주,"57,000","1,800",+3.26%,"5,000","55,561","97,475",21.46,"2,676,557",62.84,5.19,
61,강원랜드,"25,900",400,+1.57%,500,"55,411","213,940",21.62,"266,501",227.19,-0.33,
62,LG디스플레이,"15,300",100,-0.65%,"5,000","54,746","357,816",17.81,"1,190,556",5.60,9.68,
63,LG유플러스,"12,500",200,+1.63%,"5,000","54,576","436,611",37.64,"1,005,110",7.96,9.47,
64,맥쿼리인프라,"13,000",300,+2.36%,0,"52,630","404,846",13.47,"1,480,573",N/A,N/A,
65,KODEX 200,"32,385",140,+0.43%,0,"51,751","159,800",1.85,"4,569,046",N/A,N/A,
66,SKC,"136,000",500,+0.37%,"5,000","51,501","37,868",14.96,"117,393",20.98,11.60,
67,삼성중공업,"5,620",120,+2.18%,"1,000","49,456","880,000",15.40,"4,067,720",-4.17,-36.89,
68,코웨이,"64,100",200,-0.31%,500,"47,306","73,800",61.25,"116,190",9.96,27.41,
69,현대건설,"42,150",600,+1.44%,"5,000","46,936","111,356",23.71,"589,802",11.31,5.89,
70,현대제철,"34,100",750,+2.25%,"5,000","45,505","133,446",21.38,"615,637",2.63,8.54,
71,HD현대,"56,900","1,500",+2.71%,"1,000","44,947","78,993",16.03,"182,141",84.05,-1.99,
72,한국타이어앤테크놀로지,"34,800","1,000",+2.96%,500,"43,109","123,875",35.94,"283,782",8.21,7.69,
73,DB손해보험,"60,600",600,+1.00%,500,"42,905","70,800",43.08,"119,431",4.60,13.38,
74,유한양행,"57,800",0,0.00%,"1,000","42,328","73,231",19.12,"169,483",43.92,5.45,
75,에스디바이오센서,"40,300",750,-1.83%,500,"41,618","103,271",10.97,"528,170",3.67,72.47,
76,미래에셋증권,"6,590",130,+2.01%,"5,000","40,549","615,316",13.16,"1,612,240",4.92,11.66,
77,메리츠화재,"34,500",550,+1.62%,500,"40,297","116,802",11.64,"176,400",5.60,26.12,
78,한진칼,"60,000","1,200",+2.04%,"2,500","40,057","66,761",14.56,"62,512",21.13,1.11,
79,오리온,"100,500",0,0.00%,500,"39,734","39,536",36.09,"92,284",15.11,12.75,
80,금호석유,"129,500","2,000",+1.57%,"5,000","39,233","30,296",19.96,"101,651",2.32,47.76,
81,롯데지주,"37,350",100,+0.27%,200,"39,184","104,909",7.96,"130,405",13.63,4.61,
82,GS,"41,650",400,+0.97%,"5,000","38,699","92,915",22.99,"230,114",2.57,15.55,
83,삼성엔지니어링,"19,600",350,+1.82%,"5,000","38,416","196,000",39.97,"1,262,708",10.14,20.67,
84,한미약품,"309,500",500,+0.16%,"2,500","38,124","12,318",14.18,"17,096",56.48,8.75,
85,삼성카드,"32,050",750,+2.40%,"5,000","37,133","115,859",6.77,"77,497",6.47,7.53,
86,현대미포조선,"89,900","2,100",+2.39%,"5,000","35,908","39,942",14.39,"271,555",-15.70,-7.11,
87,한국금융지주,"63,100",900,+1.45%,"5,000","35,163","55,726",34.15,"271,984",2.33,27.12,
88,TIGER 차이나전기차SOLACTIVE,"16,005",175,-1.08%,0,"34,852","217,760",0.58,"5,017,746",N/A,N/A,
89,현대오토에버,"125,500","1,000",-0.79%,500,"34,417","27,424",1.80,"50,002",43.91,7.26,
90,현대차2우B,"94,200",700,-0.74%,"5,000","34,369","36,485",60.25,"89,857",5.02,N/A,
91,한국가스공사,"37,200",900,+2.48%,"5,000","34,340","92,313",11.06,"234,967",2.93,11.63,
92,일진머티리얼즈,"73,500",400,+0.55%,500,"33,891","46,111",10.44,"198,262",47.60,7.85,
93,메리츠금융지주,"26,250",850,+3.35%,500,"33,820","128,838",7.31,"152,644",3.71,22.33,
94,쌍용C&E,"6,670",70,+1.06%,100,"33,607","503,860",2.93,"381,305",22.31,11.12,
95,NH투자증권,"9,950",240,+2.47%,"5,000","33,001","331,666",13.46,"992,593",3.97,14.77,
96,한화에어로스페이스,"64,400","10,700",+19.93%,"5,000","32,606","50,630",19.60,"10,529,813",16.14,9.21,
97,이마트,"113,000","3,000",+2.73%,"5,000","31,500","27,876",27.44,"222,377",1.38,16.25,
98,BGF리테일,"181,000","3,000",-1.63%,"1,000","31,284","17,284",31.19,"30,108",19.83,19.61,
99,삼성증권,"35,000",650,+1.89%,"5,000","31,255","89,300",27.38,"339,131",3.77,16.94,
100,두산밥캣,"31,100",550,-1.74%,500,"31,177","100,249",24.27,"1,097,891",8.41,9.19,
101,메리츠증권,"4,850",110,+2.32%,"1,000","31,026","639,711",13.59,"1,109,532",4.16,15.77,
102,아모레G,"36,900",0,0.00%,500,"30,427","82,458",15.19,"146,907",24.05,5.49,
103,팬오션,"5,650",70,+1.25%,"1,000","30,203","534,570",15.67,"1,817,073",4.59,17.16,
104,현대해상,"32,800",600,+1.86%,500,"29,323","89,400",31.80,"306,831",6.38,8.82,
105,OCI,"122,500","8,000",+6.99%,"5,000","29,215","23,849",14.14,"1,503,086",3.93,23.93,
106,현대로템,"26,550","1,600",+6.41%,"5,000","28,977","109,142",5.79,"15,823,613",39.57,5.01,
107,호텔신라,"71,800","1,000",+1.41%,"5,000","28,180","39,248",15.84,"194,055",137.55,4.51,
108,한미사이언스,"40,900",100,-0.24%,500,"28,067","68,624",1.47,"55,907",58.10,6.37,
109,한화시스템,"14,550",350,+2.46%,"5,000","27,488","188,919",3.26,"2,440,117",28.81,6.04,
110,롯데쇼핑,"95,400","2,300",+2.47%,"5,000","26,987","28,289",11.45,"91,993",-13.32,-2.94,
111,만도,"57,200",800,+1.42%,"1,000","26,859","46,957",20.65,"300,215",18.16,9.31,
112,CJ대한통운,"116,500",500,+0.43%,"5,000","26,576","22,812",17.99,"39,411",38.54,1.59,
113,제일기획,"22,800",650,+2.93%,200,"26,229","115,041",32.50,"513,926",14.75,15.58,
114,KCC,"291,500","2,500",+0.87%,"5,000","25,904","8,886",9.68,"28,958",-45.69,-0.92,
115,GS리테일,"24,550",250,+1.03%,"1,000","25,708","104,718",7.20,"153,425",3.05,25.58,
116,GS건설,"29,800",900,+3.11%,"5,000","25,503","85,581",30.66,"1,012,264",6.41,9.32,
117,포스코인터내셔널,"20,550",650,+3.27%,"5,000","25,354","123,375",6.45,"934,582",5.92,10.86,
118,동서,"25,300",550,+2.22%,500,"25,224","99,700",3.01,"49,312",22.13,8.05,
119,한전기술,"65,600",800,+1.23%,200,"25,072","38,220",2.08,"197,839",190.70,3.25,
120,한솔케미칼,"219,500","3,500",-1.57%,"5,000","24,881","11,335",34.92,"61,345",16.80,23.88,
121,에스원,"63,800",100,-0.16%,500,"24,243","37,999",52.92,"72,686",18.78,9.13,
122,KODEX 레버리지,"15,730",145,+0.93%,0,"23,666","150,450",1.86,"29,702,980",N/A,N/A,
123,씨에스윈드,"55,500","2,700",+5.11%,500,"23,405","42,171",10.50,"753,639",70.43,10.13,
124,CJ,"79,800",200,-0.25%,"5,000","23,283","29,177",17.30,"25,270",9.32,5.66,
125,현대차우,"94,100",700,+0.75%,"5,000","22,920","24,357",57.67,"47,385",5.01,N/A,
126,LG화학우,"291,000","4,000",+1.39%,"5,000","22,374","7,689",69.96,"18,782",7.47,N/A,
127,TIGER 미국나스닥100,"74,890","1,880",+2.57%,0,"22,227","29,680",0.05,"190,036",N/A,N/A,
128,키움증권,"84,500","3,500",+4.32%,"5,000","22,155","26,220",24.14,"71,097",3.06,25.38,
129,BNK금융지주,"6,790",20,+0.30%,"5,000","22,131","325,935",39.21,"1,103,598",2.53,8.76,
130,대한전선,"1,760",20,+1.15%,100,"21,903","1,244,473",2.26,"12,043,370",40.93,7.78,
131,대우건설,"5,250",80,+1.55%,"5,000","21,820","415,623",10.37,"2,703,126",4.28,16.47,
132,두산퓨얼셀,"32,900",950,+2.97%,100,"21,547","65,494",14.76,"673,539",267.48,1.69,
133,신세계,"218,500","2,000",+0.92%,"5,000","21,512","9,845",27.09,"19,378",6.01,8.54,
